[CONFIG] distributed init (local rank 2)
[CONFIG] Let's use 4 GPUs!
115495 queries in the dataset
5732 queries in the dataset
load initial weights!
None
epoch: 1
train_file: trainstreetlearnU_cmu5kU
val_file: hudsonriver5kU
distributed: True
val_distributed: False
syncBN: False
use_amp: False
share: True
seed: 1
port: 12364
feat_dim: 4096
margin: 0.07
optimizer: SAM
wd: 0.03
epochs: 60
lr: 0.0001
scheduler: CosineAnnealingLR
pre_model_name: resnetsafa_dgcnn_asam_2to3_up
num_layers: 1
num_heads: 8
seq_len: 10
model_type: transmixer_mask
w: 5
pool: avg_pool
max_masked: 9
special_mask: False
rank: 0
world_size: 4
gpu: 0
device: cuda:0
dist_backend: nccl
dist_url: env://
log: True

115495 queries in the dataset
5732 queries in the dataset
Using 8 dataloader workers every process
Model device: cuda:0
Model name: model_20240105_0136
Number of model parameters: 5255168
load initial weights!
Epoch[1-95]	loss: 0.0067	total loss: 0.0067
Epoch[1-96]	loss: 0.0090	total loss: 0.0090
Epoch[1-97]	loss: 0.0165	total loss: 0.0165
Epoch[1-98]	loss: 0.0088	total loss: 0.0088
Epoch[1-99]	loss: 0.0092	total loss: 0.0092
Epoch[1-100]	loss: 0.0166	total loss: 0.0166
Epoch[1-101]	loss: 0.0096	total loss: 0.0096
Epoch[1-102]	loss: 0.0113	total loss: 0.0113
Epoch[1-103]	loss: 0.0098	total loss: 0.0098
Epoch[1-104]	loss: 0.0052	total loss: 0.0052
Epoch[1-105]	loss: 0.0249	total loss: 0.0249
Epoch[1-106]	loss: 0.0176	total loss: 0.0176
Epoch[1-107]	loss: 0.0123	total loss: 0.0123
Epoch[1-108]	loss: 0.0349	total loss: 0.0349
Epoch[1-109]	loss: 0.0077	total loss: 0.0077
Epoch[1-110]	loss: 0.0129	total loss: 0.0129
Epoch[1-111]	loss: 0.0090	total loss: 0.0090
Epoch[1-112]	loss: 0.0132	total loss: 0.0132
Epoch[1-113]	loss: 0.0123	total loss: 0.0123
Epoch[1-114]	loss: 0.0195	total loss: 0.0195
Epoch[1-115]	loss: 0.0126	total loss: 0.0126
Epoch[1-116]	loss: 0.0099	total loss: 0.0099
Epoch[1-117]	loss: 0.0113	total loss: 0.0113
Epoch[1-118]	loss: 0.0090	total loss: 0.0090
Epoch[1-119]	loss: 0.0044	total loss: 0.0044
Epoch[1-120]	loss: 0.0070	total loss: 0.0070
Epoch[1-121]	loss: 0.0076	total loss: 0.0076
Epoch[1-122]	loss: 0.0065	total loss: 0.0065
Epoch[1-123]	loss: 0.0047	total loss: 0.0047
Epoch[1-124]	loss: 0.0051	total loss: 0.0051
Epoch[1-125]	loss: 0.0239	total loss: 0.0239
Epoch[1-126]	loss: 0.0187	total loss: 0.0187
Epoch[1-127]	loss: 0.0102	total loss: 0.0102
Epoch[1-128]	loss: 0.0132	total loss: 0.0132
Epoch[1-129]	loss: 0.0081	total loss: 0.0081
Epoch[1-130]	loss: 0.0065	total loss: 0.0065
Epoch[1-131]	loss: 0.0064	total loss: 0.0064
Epoch[1-132]	loss: 0.0198	total loss: 0.0198
Epoch[1-133]	loss: 0.0076	total loss: 0.0076
Epoch[1-134]	loss: 0.0079	total loss: 0.0079
Epoch[1-135]	loss: 0.0086	total loss: 0.0086
Epoch[1-136]	loss: 0.0164	total loss: 0.0164
Epoch[1-137]	loss: 0.0074	total loss: 0.0074
Epoch[1-138]	loss: 0.0127	total loss: 0.0127
Epoch[1-139]	loss: 0.0099	total loss: 0.0099
Epoch[1-140]	loss: 0.0061	total loss: 0.0061
Epoch[1-141]	loss: 0.0097	total loss: 0.0097
Epoch[1-142]	loss: 0.0108	total loss: 0.0108
Epoch[1-143]	loss: 0.0121	total loss: 0.0121
Epoch[1-144]	loss: 0.0051	total loss: 0.0051
Epoch[1-145]	loss: 0.0085	total loss: 0.0085
Epoch[1-146]	loss: 0.0114	total loss: 0.0114
Epoch[1-147]	loss: 0.0097	total loss: 0.0097
Epoch[1-148]	loss: 0.0188	total loss: 0.0188
Epoch[1-149]	loss: 0.0121	total loss: 0.0121
Epoch[1-150]	loss: 0.0112	total loss: 0.0112
Epoch[1-151]	loss: 0.0110	total loss: 0.0110
Epoch[1-152]	loss: 0.0028	total loss: 0.0028
Epoch[1-153]	loss: 0.0052	total loss: 0.0052
Epoch[1-154]	loss: 0.0060	total loss: 0.0060
Epoch[1-155]	loss: 0.0151	total loss: 0.0151
Epoch[1-156]	loss: 0.0087	total loss: 0.0087
Epoch[1-157]	loss: 0.0078	total loss: 0.0078
Epoch[1-158]	loss: 0.0098	total loss: 0.0098
Epoch[1-159]	loss: 0.0137	total loss: 0.0137
Epoch[1-160]	loss: 0.0092	total loss: 0.0092
Epoch[1-161]	loss: 0.0098	total loss: 0.0098
Epoch[1-162]	loss: 0.0058	total loss: 0.0058
Epoch[1-163]	loss: 0.0054	total loss: 0.0054
Epoch[1-164]	loss: 0.0093	total loss: 0.0093
Epoch[1-165]	loss: 0.0082	total loss: 0.0082
Epoch[1-166]	loss: 0.0260	total loss: 0.0260
Epoch[1-167]	loss: 0.0059	total loss: 0.0059
Epoch[1-168]	loss: 0.0059	total loss: 0.0059
Epoch[1-169]	loss: 0.0088	total loss: 0.0088
Epoch[1-170]	loss: 0.0097	total loss: 0.0097
Epoch[1-171]	loss: 0.0100	total loss: 0.0100
Epoch[1-172]	loss: 0.0082	total loss: 0.0082
Epoch[1-173]	loss: 0.0109	total loss: 0.0109
Epoch[1-174]	loss: 0.0156	total loss: 0.0156
Epoch[1-175]	loss: 0.0048	total loss: 0.0048
Epoch[1-176]	loss: 0.0122	total loss: 0.0122
Epoch[1-177]	loss: 0.0122	total loss: 0.0122
Epoch[1-178]	loss: 0.0054	total loss: 0.0054
Epoch[1-179]	loss: 0.0184	total loss: 0.0184
Epoch[1-180]	loss: 0.0101	total loss: 0.0101
Epoch[1-181]	loss: 0.0105	total loss: 0.0105
Epoch[1-182]	loss: 0.0057	total loss: 0.0057
Epoch[1-183]	loss: 0.0044	total loss: 0.0044
Epoch[1-184]	loss: 0.0064	total loss: 0.0064
Epoch[1-185]	loss: 0.0065	total loss: 0.0065
Epoch[1-186]	loss: 0.0078	total loss: 0.0078
Epoch[1-187]	loss: 0.0043	total loss: 0.0043
Epoch[1-188]	loss: 0.0084	total loss: 0.0084
Epoch[1-189]	loss: 0.0195	total loss: 0.0195
Epoch[1-190]	loss: 0.0093	total loss: 0.0093
Epoch[1-191]	loss: 0.0204	total loss: 0.0204
Epoch[1-192]	loss: 0.0149	total loss: 0.0149
Epoch[1-193]	loss: 0.0104	total loss: 0.0104
Epoch[1-194]	loss: 0.0043	total loss: 0.0043
Epoch[1-195]	loss: 0.0064	total loss: 0.0064
Epoch[1-196]	loss: 0.0132	total loss: 0.0132
Epoch[1-197]	loss: 0.0050	total loss: 0.0050
Epoch[1-198]	loss: 0.0242	total loss: 0.0242
Epoch[1-199]	loss: 0.0079	total loss: 0.0079
Epoch[1-200]	loss: 0.0211	total loss: 0.0211
Epoch[1-201]	loss: 0.0060	total loss: 0.0060
Epoch[1-202]	loss: 0.0130	total loss: 0.0130
Epoch[1-203]	loss: 0.0060	total loss: 0.0060
Epoch[1-204]	loss: 0.0092	total loss: 0.0092
Epoch[1-205]	loss: 0.0068	total loss: 0.0068
Epoch[1-206]	loss: 0.0080	total loss: 0.0080
Epoch[1-207]	loss: 0.0207	total loss: 0.0207
Epoch[1-208]	loss: 0.0124	total loss: 0.0124
Epoch[1-209]	loss: 0.0186	total loss: 0.0186
Epoch[1-210]	loss: 0.0122	total loss: 0.0122
Epoch[1-211]	loss: 0.0062	total loss: 0.0062
Epoch[1-212]	loss: 0.0068	total loss: 0.0068
Epoch[1-213]	loss: 0.0079	total loss: 0.0079
Epoch[1-214]	loss: 0.0065	total loss: 0.0065
Epoch[1-215]	loss: 0.0148	total loss: 0.0148
Epoch[1-216]	loss: 0.0058	total loss: 0.0058
Epoch[1-217]	loss: 0.0062	total loss: 0.0062
Epoch[1-218]	loss: 0.0033	total loss: 0.0033
Epoch[1-219]	loss: 0.0052	total loss: 0.0052
Epoch[1-220]	loss: 0.0039	total loss: 0.0039
Epoch[1-221]	loss: 0.0065	total loss: 0.0065
Epoch[1-222]	loss: 0.0146	total loss: 0.0146
Epoch[1-223]	loss: 0.0089	total loss: 0.0089
Epoch[1-224]	loss: 0.0045	total loss: 0.0045
Epoch[1-225]	loss: 0.0066	total loss: 0.0066
Epoch[1-226]	loss: 0.0184	total loss: 0.0184
Epoch[1-227]	loss: 0.0049	total loss: 0.0049
Epoch[1-228]	loss: 0.0073	total loss: 0.0073
Epoch[1-229]	loss: 0.0090	total loss: 0.0090
Epoch[1-230]	loss: 0.0111	total loss: 0.0111
Epoch[1-231]	loss: 0.0057	total loss: 0.0057
Epoch[1-232]	loss: 0.0103	total loss: 0.0103
Epoch[1-233]	loss: 0.0077	total loss: 0.0077
Epoch[1-234]	loss: 0.0136	total loss: 0.0136
Epoch[1-235]	loss: 0.0062	total loss: 0.0062
Epoch[1-236]	loss: 0.0067	total loss: 0.0067
Epoch[1-237]	loss: 0.0156	total loss: 0.0156
Epoch[1-238]	loss: 0.0102	total loss: 0.0102
Epoch[1-239]	loss: 0.0085	total loss: 0.0085
Epoch[1-240]	loss: 0.0087	total loss: 0.0087
Epoch[1-241]	loss: 0.0094	total loss: 0.0094
Epoch[1-242]	loss: 0.0130	total loss: 0.0130
Epoch[1-243]	loss: 0.0055	total loss: 0.0055
Epoch[1-244]	loss: 0.0077	total loss: 0.0077
Epoch[1-245]	loss: 0.0080	total loss: 0.0080
Epoch[1-246]	loss: 0.0164	total loss: 0.0164
Epoch[1-247]	loss: 0.0054	total loss: 0.0054
Epoch[1-248]	loss: 0.0067	total loss: 0.0067
Epoch[1-249]	loss: 0.0062	total loss: 0.0062
Epoch[1-250]	loss: 0.0101	total loss: 0.0101
Epoch[1-251]	loss: 0.0070	total loss: 0.0070
Epoch[1-252]	loss: 0.0069	total loss: 0.0069
Epoch[1-253]	loss: 0.0061	total loss: 0.0061
Epoch[1-254]	loss: 0.0039	total loss: 0.0039
Epoch[1-255]	loss: 0.0056	total loss: 0.0056
Epoch[1-256]	loss: 0.0072	total loss: 0.0072
Epoch[1-257]	loss: 0.0046	total loss: 0.0046
Epoch[1-258]	loss: 0.0161	total loss: 0.0161
Epoch[1-259]	loss: 0.0151	total loss: 0.0151
